#,Keyword,Country,Difficulty,Volume,CPC,CPS,Parent Keyword,Last Update,SERP Features,Global volume,Traffic potential,Global traffic potential,First seen,Intents,Languages,SV trend (03-2024 - 02-2026),SV Forecasting trend (03-2026 - 03-2027)
11,highest dividend etf,us,39,2200,1.30,1.45,monthly dividend etf,2026-02-26 15:10:28,"AI Overview,Video preview,Thumbnail,People also ask,Sitelinks,Top stories",3000,13000,16000,2015-11-02,"Informational,Commercial,Non-branded,Non-local",English,"2274, 1876, 1916, 1633, 2001, 1921, 1904, 2746, 3873, 4777, 4832, 2439, 2439, 2782, 2132, 2441, 2540, 2111, 2238, 3294, 1398, 1762, 1926, 1576","1622, 1446, 1406, 1399, 1475, 1440, 1405, 1529, 1466, 1610, 1770, 1421, 1466"
12,vanguard dividend appreciation etf,us,11,2200,0.10,0.89,vanguard dividend appreciation etf,2026-03-14 15:42:59,"AI Overview,Thumbnail,Video preview,People also ask,Top stories",2700,7000,10000,2015-09-17,"Informational,Branded,Non-local",English,"1472, 1454, 1500, 1453, 1271, 1480, 1472, 1893, 1483, 1509, 1821, 1424, 2075, 2557, 2149, 2065, 1803, 1998, 2038, 1675, 1694, 3101, 2529, 2333","2599, 2516, 2446, 2432, 2416, 2449, 2272, 2275, 2341, 2456, 2574, 2379, 2644"
13,schwab dividend etf,us,16,2200,0.25,0.81,schd,2026-02-27 13:20:12,"AI Overview,Thumbnail,Video preview,People also ask",2400,161000,184000,2016-01-14,"Informational,Branded,Non-local",English,"1651, 1585, 1361, 1376, 1656, 2047, 2331, 2867, 2087, 2140, 2728, 1928, 2949, 2956, 2019, 1985, 1981, 1946, 1957, 1922, 1895, 2319, 2286, 2133","2296, 2252, 2149, 2176, 2185, 2312, 2256, 2354, 2308, 2415, 2513, 2360, 2524"
14,weekly dividend etf,us,4,1900,1.50,,weekly dividend etf,2026-03-10 02:07:03,"AI Overview,Thumbnail,Video preview,Sitelinks,People also ask",2500,1600,1600,2018-04-30,"Informational,Non-branded,Non-local",English,"508, 359, 445, 507, 665, 703, 1352, 2451, 902, 953, 1767, 1462, 1254, 1284, 1909, 2222, 2845, 2768, 2289, 2216, 1480, 1304, 1430, 1241","1222, 1064, 1120, 1046, 992, 897, 902, 956, 731, 681, 728, 639, 607"
15,jepq etf dividend yield,us,,1900,,,,,,2100,,,2023-12-19,,,"14, 4, 1, 2, 0, 0, 1, 0, 0, 0, 4, 1, 308, 3547, 6228, 1642, 1078, 3628, 3427, 1963, 208, 97, 278, 15",0
16,best dividend etf 2025,us,12,1900,0.60,,top etf dividend stocks,2026-03-04 14:49:52,"AI Overview,Thumbnail,People also ask,Video preview",2000,20,20,2024-10-25,"Informational,Commercial,Non-branded,Non-local",English,"0, 0, 0, 0, 0, 0, 0, 4, 41, 287, 977, 933, 934, 1020, 1045, 2466, 4475, 3397, 1705, 2012, 1758, 1504, 1414, 1183","1051, 899, 808, 836, 880, 605, 431, 436, 356, 330, 350, 270, 238"
17,top dividend etf,us,27,1900,1.00,1.07,high dividend etf,2026-03-03 08:17:43,"AI Overview,Thumbnail,Video preview,People also ask,Sitelinks,Top stories",2200,9700,9800,2015-09-11,"Informational,Commercial,Non-branded,Non-local",English,"639, 534, 539, 546, 673, 681, 545, 705, 718, 759, 876, 803, 1333, 2278, 4863, 2253, 4900, 2295, 794, 715, 704, 730, 754, 694","780, 827, 1053, 663, 965, 761, 674, 785, 783, 794, 792, 732, 818"
18,high yield dividend etf,us,20,1600,1.40,1.1,vym,2026-03-07 21:29:15,"AI Overview,Thumbnail,People also ask,Sitelinks,Top stories,Video preview",2300,49000,53000,2015-10-30,"Informational,Commercial,Non-branded,Non-local",English,"1020, 1006, 1007, 844, 1015, 1016, 1625, 3412, 10700, 4175, 2093, 1254, 2001, 2006, 1715, 1701, 1795, 1501, 1255, 1733, 1416, 1472, 1226, 845","930, 819, 728, 625, 572, 514, 468, 636, 1337, 656, 476, 306, 373"
19,best high dividend etf,us,22,1600,1.10,1.44,best dividend paying etfs,2026-03-03 22:55:28,"AI Overview,Thumbnail,People also ask,Discussions,Sitelinks,Video preview",2000,2900,3000,2015-09-22,"Informational,Commercial,Non-branded,Non-local",English,"1099, 1079, 1062, 722, 910, 1089, 1074, 1100, 1110, 1313, 1349, 1310, 3908, 2686, 1286, 1269, 1877, 1897, 968, 1142, 923, 1151, 1299, 1314","1536, 1377, 1195, 1128, 1292, 1233, 1107, 1136, 1128, 1186, 1299, 1314, 1536"
20,fidelity high dividend etf,us,9,1400,0.30,0.88,highest dividend etfs,2026-02-26 08:03:02,"AI Overview,Video preview,People also ask,Top stories,Thumbnail",1500,20,20,2016-02-10,"Informational,Branded,Non-local",English,"899, 717, 689, 717, 738, 916, 948, 1110, 1306, 1375, 1370, 1121, 1363, 1344, 1129, 1757, 2538, 1186, 1104, 1271, 930, 1288, 1280, 1097","1291, 1051, 1054, 1117, 1180, 915, 965, 898, 919, 969, 1031, 867, 1119"
21,dividend etf news,us,17,1200,,,dividend etfs,2026-03-05 14:32:42,"People also ask,Top stories,Thumbnail,Video preview",1200,300,300,2025-07-24,"Informational,Non-branded,Non-local",English,"54, 27, 0, 54, 0, 0, 27, 54, 54, 54, 54, 108, 108, 108, 135, 189, 892, 514, 270, 378, 2000, 4815, 1665, 2893","2839, 2355, 2207, 1910, 1919, 1426, 1375, 1162, 1588, 1678, 851, 754, 673"
22,bmo canadian dividend etf annual yield,us,,1200,,,,,,1200,,,2025-06-09,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1057, 9505, 1419, 808, 376, 265, 8, 293, 253",0
23,schwab u.s. dividend equity etf,us,13,1200,0.45,0.86,schd,2026-03-02 22:54:06,"AI Overview,Thumbnail,People also ask,Top stories,Sitelinks,Video preview",1600,161000,184000,2015-10-13,"Informational,Branded,Non-local",English,"311, 251, 346, 348, 357, 330, 272, 509, 468, 590, 1056, 1017, 593, 2163, 595, 1194, 837, 909, 1638, 1149, 960, 1328, 1366, 1377","1404, 1529, 1415, 1527, 1515, 1518, 1614, 1641, 1662, 1748, 1837, 1848, 1875"
24,qqqi etf dividend yield,us,,1100,,,,,,1100,,,2025-02-08,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 87, 820, 2292, 1030, 824, 2343, 2880, 1256, 280, 163, 536, 169",0
25,dividend growth etf,us,10,1100,1.20,1.42,dgro,2026-03-12 06:44:17,"AI Overview,Video preview,Thumbnail,People also ask,Sitelinks,Top stories",1800,8300,9400,2015-10-12,"Informational,Commercial,Non-branded,Non-local",English,"1414, 1407, 1198, 1164, 1413, 1185, 1156, 1650, 1166, 1182, 1437, 1166, 1397, 1173, 958, 950, 1420, 986, 965, 1002, 855, 1248, 1178, 1115","1183, 1090, 1031, 1005, 1109, 1072, 1080, 1110, 1028, 1126, 1188, 1125, 1193"
26,cony etf dividend yield,us,,1100,,,,,,1200,,,2023-10-05,,,"3, 1, 0, 4, 1, 1, 0, 2, 5, 2, 1, 1, 171, 1913, 5662, 1656, 903, 1434, 1243, 612, 39, 41, 54, 22",0
27,high dividend yield etf,us,46,1100,1.40,1.06,vym,2026-02-25 04:17:17,"AI Overview,Thumbnail,People also ask,Top stories,Video preview",1900,50000,53000,2015-10-12,"Informational,Non-branded,Non-local",English,"740, 730, 709, 617, 751, 727, 1159, 2418, 7711, 2972, 1483, 870, 1451, 1461, 1225, 1238, 1267, 1088, 921, 1316, 1100, 1143, 926, 634","699, 613, 556, 484, 451, 403, 374, 472, 998, 500, 353, 220, 274"
28,schd etf dividend yield 2025,us,,1100,,,,,,1200,,,2025-01-31,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 7, 177, 2328, 4222, 1128, 846, 1131, 1508, 1141, 230, 203, 96, 0",0
29,etf dividend,us,28,1000,1.00,0.95,best dividend etfs,2026-03-11 00:19:18,"AI Overview,Thumbnail,Video preview,People also ask,Top stories,Sitelinks",2500,5000,5400,2015-09-01,"Informational,Non-branded,Non-local",English,"1146, 1141, 988, 964, 1112, 1101, 1055, 1880, 1111, 1346, 1597, 1103, 1071, 1092, 1088, 1067, 1339, 929, 917, 943, 764, 913, 1029, 920","968, 930, 978, 916, 912, 857, 804, 910, 821, 926, 1036, 926, 974"
30,msty etf dividend history,us,,1000,,,,,,1200,,,2024-04-15,,,"0, 6, 9, 21, 22, 30, 22, 57, 170, 227, 378, 223, 640, 1932, 5952, 1435, 733, 800, 491, 319, 48, 57, 121, 39",0
31,schd etf dividend yield,us,20,1000,0.80,,schd,2026-03-10 08:26:16,"AI Overview,Video preview,Thumbnail,People also ask,Top stories",1300,159000,190000,2020-11-29,"Informational,Branded,Non-local",English,"394, 254, 254, 313, 256, 312, 317, 404, 600, 406, 493, 320, 508, 1231, 3056, 1372, 906, 1106, 1227, 1131, 552, 464, 555, 465","470, 492, 640, 439, 364, 366, 341, 316, 285, 241, 236, 158, 188"
32,vanguard high dividend yield etf (vym),us,13,900,,,vym,2026-03-01 03:46:29,"AI Overview,Thumbnail,People also ask,Video preview",1000,50000,53000,2016-11-13,"Informational,Branded,Non-local",English,"7, 21, 67, 40, 14, 10, 14, 5, 6, 14, 15, 14, 18, 646, 1239, 1105, 646, 1003, 1149, 956, 493, 1071, 1947, 869",0
33,international dividend etf,us,17,900,1.60,1.21,international dividend etf,2026-03-02 08:39:29,"AI Overview,Video preview,Thumbnail,People also ask",1100,700,700,2015-09-05,"Informational,Commercial,Non-branded,Non-local",English,"314, 266, 311, 218, 225, 272, 534, 763, 335, 405, 466, 424, 1224, 1250, 1026, 1733, 2112, 728, 451, 483, 461, 531, 548, 516","554, 508, 519, 555, 594, 398, 431, 425, 324, 406, 467, 431, 575"
34,schwab u.s. dividend equity etf (schd),us,28,900,,,schd,2026-03-06 03:52:36,"People also ask,Sitelinks,Video preview",1100,169000,195000,2016-12-13,"Informational,Branded,Non-local",English,"37, 15, 30, 45, 62, 52, 56, 73, 53, 100, 141, 61, 148, 371, 1215, 951, 791, 1072, 857, 856, 657, 715, 2037, 1043",0
35,weekly dividend etf list,us,,900,1.60,,,,,1100,,,2022-11-25,,,"33, 76, 25, 78, 96, 124, 199, 358, 355, 537, 656, 539, 458, 311, 863, 918, 1251, 1257, 1206, 1428, 907, 836, 849, 770","794, 794, 1046, 924, 1028, 929, 912, 1042, 764, 923, 983, 904, 927"
36,high yield dividend etf passive income,us,,900,,,,,,900,,,2024-10-31,,,"0, 0, 0, 0, 0, 0, 0, 134, 1793, 6, 5, 5, 4, 0, 0, 0, 0, 0, 0, 0, 0, 9894, 1083, 6",0
37,fidelity dividend etf,us,7,800,0.70,1.03,fdvv,2026-03-14 21:54:58,"AI Overview,Video preview,Thumbnail,People also ask,Top stories",900,13000,13000,2015-09-26,"Informational,Branded,Non-local",English,"1000, 912, 872, 734, 812, 862, 978, 1424, 924, 1062, 1366, 967, 1046, 874, 817, 648, 683, 653, 624, 954, 804, 920, 975, 916","941, 890, 874, 817, 838, 841, 820, 879, 817, 869, 940, 884, 907"
38,ymax etf dividend yield,us,,800,,,,,,800,,,2024-04-16,,,"0, 2, 0, 6, 0, 1, 0, 0, 0, 0, 6, 0, 183, 1131, 2985, 1365, 1837, 710, 396, 194, 11, 5, 288, 258",0
39,best dividend growth etf,us,16,700,1.10,1.2,dividend growth etf,2026-03-01 11:06:44,"AI Overview,Thumbnail,Video preview,People also ask,Discussions,Top stories",800,1200,1300,2016-02-07,"Informational,Commercial,Non-branded,Non-local",English,"860, 710, 703, 1182, 1396, 978, 969, 734, 531, 718, 744, 581, 725, 716, 977, 574, 751, 604, 594, 575, 509, 598, 630, 573","610, 571, 588, 579, 608, 564, 539, 502, 487, 524, 569, 512, 551"
40,dividend paying etf,us,27,700,1.00,1.18,vym,2026-03-06 12:52:19,"People also ask,Video preview",1000,49000,53000,2015-09-24,"Informational,Commercial,Non-branded,Non-local",English,"330, 341, 341, 295, 284, 576, 2033, 382, 385, 465, 578, 458, 679, 1423, 1443, 573, 699, 494, 479, 418, 345, 424, 467, 439","455, 494, 495, 382, 385, 391, 524, 321, 290, 313, 350, 327, 345"
41,vanguard dividend etf passive income,us,,700,,,,,,700,,,2025-07-18,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8492, 5, 4, 6, 1, 22, 0, 6",0
42,best weekly dividend etf,us,4,700,1.50,,best weekly dividend stocks,2026-03-11 21:23:52,"AI Overview,Thumbnail,Sitelinks,People also ask,Discussions,Video preview",900,600,700,2018-06-06,"Informational,Non-branded,Non-local",English,"61, 32, 47, 49, 59, 94, 137, 171, 126, 169, 292, 342, 306, 303, 693, 1213, 823, 972, 921, 916, 627, 673, 682, 685","673, 668, 702, 750, 693, 699, 697, 700, 686, 687, 698, 698, 688"
43,best dividend etf black rock company,us,,700,,,,,,700,,,2025-08-23,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2557, 5852, 4, 9, 10, 5, 0",0
44,nvdy etf dividend yield,us,,700,,,,,,700,,,2024-10-17,,,"0, 0, 0, 0, 0, 0, 0, 3, 5, 0, 0, 0, 125, 1225, 3078, 888, 674, 779, 645, 402, 48, 40, 135, 146",0
45,dividend etf best,us,13,600,0.80,,best dividend etf,2026-02-25 07:18:39,"AI Overview,Thumbnail,Sitelinks,People also ask,Video preview,Top stories",700,5000,5500,2015-12-21,"Informational,Commercial,Non-branded,Non-local",English,"514, 423, 423, 359, 415, 506, 660, 511, 512, 724, 740, 621, 710, 742, 529, 627, 639, 653, 740, 656, 523, 533, 566, 537","554, 538, 520, 489, 480, 475, 479, 462, 460, 479, 503, 477, 492"
46,spyi etf dividend yield,us,,600,,,,,,600,,,2023-07-19,,,"29, 23, 14, 3, 5, 8, 1, 1, 1, 1, 1, 0, 157, 808, 1823, 560, 375, 966, 1269, 597, 136, 133, 285, 20",0
47,best dividend etf for retirement,us,5,600,1.40,,high dividend etf,2026-03-02 13:47:27,"AI Overview,Thumbnail,People also ask,Top stories,Sitelinks,Video preview",600,9700,9800,2017-04-22,"Informational,Commercial,Non-branded,Non-local",English,"75, 59, 71, 340, 132, 136, 197, 235, 292, 328, 395, 276, 355, 365, 521, 511, 581, 594, 828, 815, 531, 591, 613, 608","622, 624, 649, 676, 665, 669, 691, 703, 702, 720, 735, 727, 745"
48,jepi etf dividend yield 2025,us,,600,,,,,,600,,,2025-03-15,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 1170, 2622, 761, 456, 678, 556, 210, 67, 111, 80, 3",0
49,tsly etf dividend yield,us,,600,,,,,,700,,,2023-08-05,,,"0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 4, 4, 128, 1203, 3076, 793, 581, 602, 515, 226, 32, 16, 64, 53",0
50,jepi etf dividend yield,us,,600,2.00,,,,,800,,,2021-05-11,"Informational,Branded,Non-local",English,"168, 85, 84, 84, 84, 168, 84, 126, 129, 129, 172, 85, 113, 542, 2318, 1041, 680, 714, 1015, 471, 189, 159, 243, 228","204, 220, 374, 222, 176, 177, 150, 133, 113, 91, 92, 49, 54"
51,etf dividend calculator,us,15,500,1.50,,dividend calculator,2026-03-02 18:14:34,"Sitelinks,People also ask,Video preview",800,22000,25000,2016-02-22,"Informational,Non-branded,Non-local",English,"430, 295, 350, 362, 365, 362, 369, 370, 443, 545, 555, 441, 441, 366, 547, 456, 667, 660, 535, 522, 350, 435, 468, 448","450, 443, 451, 431, 458, 462, 439, 442, 451, 452, 490, 471, 473"
52,ishares select dividend etf,us,5,500,1.40,0.72,dvy,2026-02-28 14:08:54,People also ask,700,1600,2000,2015-12-12,"Informational,Branded,Non-local",English,"334, 190, 284, 187, 161, 245, 289, 348, 293, 298, 302, 291, 492, 503, 422, 714, 1375, 326, 284, 388, 209, 371, 378, 349","433, 416, 364, 357, 420, 303, 301, 314, 340, 332, 364, 335, 419"
53,etf dividend stocks,us,19,500,1.00,0.97,vym,2026-02-26 17:04:02,"AI Overview,Thumbnail,People also ask,Top stories,Video preview",700,50000,53000,2015-12-12,"Informational,Non-branded,Non-local",English,"453, 355, 355, 288, 376, 369, 292, 1304, 460, 1366, 966, 455, 649, 679, 488, 486, 598, 506, 518, 547, 446, 581, 566, 484","511, 499, 490, 495, 491, 500, 476, 606, 505, 603, 572, 497, 520"
54,ishares dividend etf,us,7,500,1.30,0.98,divb stock,2026-03-04 02:29:45,"AI Overview,Thumbnail,Video preview,People also ask,Sitelinks",800,300,350,2015-10-15,"Informational,Branded,Non-local",English,"600, 495, 503, 358, 363, 427, 472, 706, 595, 733, 619, 503, 618, 621, 378, 514, 657, 469, 430, 423, 372, 407, 417, 407","459, 421, 395, 364, 373, 349, 361, 390, 369, 429, 421, 410, 462"
55,high yield monthly dividend etf,us,10,500,1.50,,highest dividend etf,2026-02-26 02:53:20,"AI Overview,Video preview,Thumbnail,People also ask,Sitelinks,Top stories",600,16000,19000,2017-05-21,"Informational,Commercial,Non-branded,Non-local",English,"135, 137, 137, 137, 142, 146, 190, 181, 614, 345, 196, 225, 316, 425, 448, 347, 672, 603, 641, 498, 319, 518, 512, 510","525, 536, 535, 549, 582, 580, 600, 604, 630, 630, 636, 634, 650"
56,jepq etf dividend yield 2025,us,,500,,,,,,600,,,2025-03-01,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 91, 945, 2115, 740, 621, 613, 700, 442, 122, 75, 37, 0",0
57,msty etf dividend per share,us,,500,,,,,,500,,,2025-03-21,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 989, 3955, 696, 106, 148, 133, 121, 8, 3, 32, 29",0
58,bmo canadian dividend etf yield,us,,500,,,,,,500,,,2025-06-09,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1195, 1962, 909, 428, 351, 135, 72, 368, 430",0
59,msty etf dividend,us,,500,,,,,,900,,,2024-03-10,,,"10, 22, 43, 113, 64, 40, 56, 164, 368, 367, 669, 345, 383, 492, 1535, 721, 1021, 511, 466, 497, 267, 170, 133, 84",0
60,ulty etf dividend history,us,,450,2.50,,,,,500,,,2024-04-07,,,"0, 2, 6, 5, 2, 65, 109, 277, 88, 104, 111, 86, 147, 237, 369, 749, 758, 609, 480, 391, 304, 495, 458, 432","439, 432, 444, 466, 446, 427, 423, 429, 401, 411, 394, 380, 379"
61,dividend kings etf,us,48,450,1.00,1.42,nobl,2026-02-21 21:32:43,"People also ask,Sitelinks,Knowledge panel,Video preview",700,14000,15000,2015-11-11,"Informational,Non-branded,Non-local",English,"338, 338, 323, 269, 337, 430, 417, 416, 428, 494, 594, 399, 477, 501, 436, 374, 465, 487, 400, 434, 378, 451, 483, 451","451, 447, 445, 424, 459, 452, 437, 439, 429, 463, 504, 472, 473"
62,best etf dividend stocks,us,7,450,1.30,,dividend etf,2026-03-02 15:08:35,"AI Overview,Thumbnail,Video preview,People also ask,Sitelinks,Top stories",450,3000,4200,2016-08-19,"Informational,Non-branded,Non-local",English,"266, 228, 285, 249, 268, 240, 183, 309, 334, 403, 404, 298, 511, 903, 522, 458, 460, 381, 275, 314, 294, 376, 365, 329","364, 374, 335, 316, 312, 289, 256, 267, 262, 274, 282, 256, 288"
63,monthly dividend etf list,us,1,450,1.00,,monthly dividend etf,2026-02-17 08:55:04,"AI Overview,Thumbnail,People also ask,Video preview",500,4000,4000,2016-02-01,"Informational,Commercial,Non-branded,Non-local",English,"335, 237, 233, 244, 237, 302, 295, 417, 657, 634, 811, 449, 462, 402, 492, 462, 705, 521, 450, 398, 386, 383, 404, 345","384, 375, 377, 380, 411, 385, 373, 400, 423, 413, 434, 375, 414"
64,highest dividend yield etf,us,35,450,1.40,,highest dividend etf,2026-02-13 04:31:02,"AI Overview,Thumbnail,People also ask,Sitelinks",600,14000,17000,2016-01-20,"Informational,Commercial,Non-branded,Non-local",English,"261, 250, 267, 221, 269, 276, 413, 878, 2686, 1062, 566, 350, 540, 519, 461, 482, 502, 461, 348, 473, 385, 379, 326, 233","253, 222, 205, 177, 166, 144, 128, 171, 341, 171, 126, 84, 101"
65,ishares core dividend growth etf,us,1,450,1.40,0.72,dgro,2026-02-24 05:20:18,"AI Overview,Thumbnail,Video preview,People also ask",800,7700,9100,2015-09-24,"Informational,Branded,Non-local",English,"279, 230, 285, 282, 284, 295, 476, 785, 409, 420, 427, 346, 489, 835, 371, 301, 424, 278, 558, 458, 296, 371, 409, 417","439, 485, 405, 357, 348, 335, 394, 416, 361, 363, 409, 417, 439"
66,global dividend etf,us,14,400,1.60,1.5,global dividend etf,2026-02-05 00:40:01,"People also ask,Sitelinks,Top stories,Thumbnail,Video preview",900,250,250,2015-10-08,"Informational,Non-branded,Non-local",English,"139, 120, 132, 97, 97, 119, 217, 321, 152, 176, 199, 178, 501, 505, 441, 722, 879, 309, 212, 239, 205, 215, 211, 208","228, 219, 221, 233, 248, 168, 189, 188, 145, 160, 172, 169, 233"
67,msty etf dividend yield 2025,us,,400,,,,,,450,,,2025-03-10,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 360, 2331, 871, 455, 309, 279, 253, 85, 42, 22, 1",0
68,omah etf dividend,us,,400,,,,,,450,,,2025-03-23,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 81, 617, 1179, 669, 670, 192, 190, 273, 200, 267, 325, 141",0
69,bito etf dividend yield,us,,400,,,,,,450,,,2024-05-21,,,"0, 0, 3, 0, 20, 5, 4, 15, 7, 1, 6, 0, 77, 498, 1129, 435, 255, 643, 823, 418, 75, 44, 93, 29",0
70,charles schwab dividend etf,us,31,400,0.25,,schd,2026-02-28 09:06:42,"AI Overview,Video preview,Thumbnail,People also ask,Top stories,Sitelinks",450,161000,184000,2016-04-15,"Informational,Commercial,Branded,Non-local",English,"329, 338, 275, 286, 347, 408, 438, 487, 395, 399, 484, 327, 518, 572, 367, 394, 392, 357, 357, 346, 335, 409, 422, 381","413, 406, 382, 385, 385, 405, 385, 392, 394, 400, 440, 400, 430"
71,dividend aristocrat etf,us,9,400,0.90,1.17,nobl etf,2026-03-07 09:47:57,"People also ask,Knowledge panel,Sitelinks,Video preview",500,5200,6700,2015-09-03,"Informational,Non-branded,Non-local",English,"360, 358, 297, 294, 303, 326, 363, 381, 444, 453, 462, 372, 462, 457, 328, 267, 412, 294, 257, 300, 335, 609, 844, 391","419, 396, 371, 345, 351, 345, 388, 392, 380, 396, 847, 394, 421"
