#,Keyword,Country,Difficulty,Volume,CPC,CPS,Parent Keyword,Last Update,SERP Features,Global volume,Traffic potential,Global traffic potential,First seen,Intents,Languages,SV trend (03-2024 - 02-2026),SV Forecasting trend (03-2026 - 03-2027)
11,secondary list of options nyt,us,,400,,,,,,450,,,2026-01-03,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4995, 24",0
12,linkedin industry options list,us,1,400,,,linkedin industry list,2026-03-03 07:18:57,"People also ask,Sitelinks,Video preview",450,600,900,2022-08-23,"Informational,Branded,Non-local",English,"2, 0, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 144, 584, 924, 505, 237, 592, 798, 512, 134, 16, 36, 15",0
13,chipotle options list,us,4,350,0.02,,chipotle menu,2026-02-11 23:12:04,"Sitelinks,People also ask,Video preview",350,1020000,1160000,2020-02-04,"Informational,Branded,Non-local",English,"194, 244, 296, 304, 367, 371, 365, 368, 370, 198, 134, 165, 304, 302, 242, 296, 359, 357, 362, 372, 361, 373, 355, 354","374, 357, 351, 348, 344, 343, 341, 356, 342, 330, 318, 315, 335"
14,barchart options calculator,us,28,350,1.60,,options calculator,2026-02-16 09:35:59,"Video preview,People also ask",500,13000,17000,2023-05-26,"Informational,Navigational,Branded,Non-local",English,"184, 223, 277, 225, 226, 270, 276, 279, 279, 332, 277, 344, 272, 335, 422, 276, 341, 337, 340, 413, 326, 340, 313, 392","347, 400, 444, 323, 385, 392, 400, 437, 371, 406, 381, 460, 416"
15,stock options profit calculator,us,37,300,1.00,,options profit calculator,2026-02-19 17:34:37,"Sitelinks,Video preview",450,66000,80000,2016-09-22,"Informational,Non-branded,Non-local",English,"261, 210, 257, 251, 227, 228, 196, 248, 274, 274, 255, 240, 143, 251, 199, 205, 270, 296, 383, 380, 262, 290, 337, 336","313, 299, 319, 332, 324, 333, 306, 318, 311, 315, 362, 361, 338"
16,best options profit calculator,us,8,300,0.70,,options profit calculator,2026-03-05 21:56:04,"Sitelinks,People also ask,Video preview",400,67000,80000,2016-08-03,"Informational,Non-branded,Non-local",English,"502, 331, 410, 507, 421, 519, 343, 343, 439, 523, 429, 422, 285, 418, 345, 226, 236, 286, 233, 345, 352, 292, 207, 265","276, 257, 253, 343, 334, 348, 296, 272, 279, 289, 210, 269, 280"
17,options trading calculator,us,36,300,1.10,1.46,options profit calculator,2026-03-02 05:32:29,"Sitelinks,Video preview",600,66000,80000,2015-09-15,"Informational,Non-branded,Non-local",English,"535, 373, 417, 533, 415, 369, 306, 363, 426, 542, 634, 423, 371, 415, 308, 288, 374, 313, 398, 333, 274, 224, 277, 294","301, 266, 246, 251, 243, 240, 211, 219, 227, 235, 272, 289, 295"
18,data entry outsourcing options comparison,us,,300,,,,,,300,,,2025-02-17,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 229, 371, 204, 374, 302, 294, 298, 265, 220, 176, 220, 181",193
19,best worksheet creator with custom options,us,,250,,,,,,250,,,2025-03-28,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 284, 306, 408, 358, 271, 268, 222, 221, 116, 135, 95",116
20,options value calculator,us,43,250,0.70,,options profit calculator,2026-03-01 16:16:01,"Sitelinks,Video preview",400,66000,80000,2015-10-04,"Informational,Non-branded,Non-local",English,"332, 270, 336, 297, 278, 281, 188, 281, 278, 278, 320, 280, 224, 338, 279, 180, 244, 244, 249, 300, 227, 161, 266, 287","308, 280, 261, 240, 219, 233, 190, 207, 192, 169, 239, 257, 276"
21,qqq vs tqqq buying options comparison,us,,250,,,,,,450,,,2025-11-26,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 93, 1079, 1545, 206",0
22,options pricing calculator,us,26,250,0.70,1.35,options calculator,2026-02-15 16:51:37,"Sitelinks,Video preview",350,13000,18000,2015-09-18,"Informational,Non-branded,Non-local",English,"300, 246, 297, 251, 256, 261, 174, 249, 261, 257, 310, 267, 213, 314, 251, 173, 228, 223, 227, 264, 213, 145, 232, 241","237, 227, 225, 202, 205, 219, 160, 173, 158, 146, 238, 246, 242"
23,long options calculator,us,12,250,3.00,,options calculator,2026-03-10 02:20:44,"Sitelinks,Video preview",350,11000,13000,2019-06-29,"Informational,Non-branded,Non-local",English,"441, 238, 241, 290, 358, 243, 197, 243, 363, 292, 241, 194, 160, 242, 293, 237, 353, 288, 290, 357, 237, 195, 254, 268","268, 196, 212, 249, 219, 215, 166, 152, 176, 145, 188, 206, 206"
24,options call calculator,us,36,200,1.20,,options profit calculator,2026-02-19 22:09:39,Video preview,250,8600,12000,2016-08-30,"Informational,Non-branded,Non-local",English,,
25,dropbox options not showing in finder,us,0,200,,,dropbox options not showing in finder,2025-12-24 23:45:02,"Sitelinks,People also ask",200,40,40,2019-11-16,"Informational,Branded,Non-local",English,,
26,ad options pricing comparison,us,,200,,,,,,350,,,2025-11-27,,,,
27,options spread calculator,us,8,200,1.40,1,options spread calculator,2026-02-20 22:58:47,Video preview,250,300,300,2015-09-18,"Informational,Non-branded,Non-local",English,"259, 224, 271, 193, 191, 155, 107, 217, 222, 222, 223, 181, 256, 267, 198, 145, 188, 187, 213, 195, 176, 160, 202, 205","225, 199, 180, 161, 163, 166, 163, 187, 171, 166, 203, 205, 225"
28,research assistant criteria comparison options,us,,200,,,,,,300,,,2025-12-06,,,,
29,options trading chart,us,16,200,1.70,,options chart,2026-03-10 03:24:32,"People also ask,Sitelinks,Video preview",350,2500,3100,2017-01-01,"Informational,Non-branded,Non-local",English,,
30,options tracker,us,18,200,2.00,,options tracker,2026-03-08 00:09:01,"Sitelinks,Video preview,People also ask",250,300,350,2016-11-20,"Informational,Non-branded,Non-local",English,,
31,career options list,us,39,200,0.60,1.07,occupations,2026-02-21 18:30:02,"AI Overview,Thumbnail,People also ask,Video preview",350,20000,24000,2015-09-12,"Informational,Non-branded,Non-local",English,"191, 196, 248, 198, 235, 284, 294, 327, 293, 269, 336, 263, 245, 303, 279, 182, 166, 231, 241, 165, 125, 101, 168, 107","117, 148, 138, 95, 120, 184, 174, 138, 105, 89, 157, 96, 106"
32,p4 client command flags options list,us,,200,,,,,,300,,,2025-11-27,,,,
33,user-friendly website builder options,us,,200,,,,,,250,,,2025-01-24,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 51, 214, 211, 165, 308, 286, 277, 277, 289, 185, 90, 118, 72",0
34,0dte options list,us,1,200,1.70,,0dte options list,2026-03-06 01:50:34,"AI Overview,Thumbnail,Video preview,Sitelinks,People also ask,Discussions",350,30,30,2023-02-13,"Informational,Non-branded,Non-local",English,"306, 274, 268, 267, 270, 331, 335, 330, 272, 326, 327, 321, 276, 336, 272, 225, 226, 185, 227, 185, 174, 190, 206, 159","157, 204, 186, 163, 202, 174, 208, 204, 230, 212, 230, 223, 222"
35,fast food family meal options comparison,us,,200,,,,,,200,,,2025-05-24,,,,
36,barchart options screener,us,15,150,,,options screener,2026-03-10 16:44:16,People also ask,200,1300,1500,2018-06-29,"Informational,Navigational,Branded,Non-local",English,,
37,options flow scanner,us,3,150,1.50,,options flow,2026-02-24 01:01:17,"Sitelinks,Video preview",150,700,900,2017-12-05,"Informational,Non-branded,Non-local",English,,
38,options trading tax calculator,us,19,150,2.50,,capital gains tax calculator,2026-02-10 02:22:48,"AI Overview,People also ask,Sitelinks",150,30000,31000,2019-06-15,"Informational,Non-branded,Non-local",English,,
39,stock options simulator,us,48,150,1.80,,options trading simulator,2026-02-10 04:13:54,"Sitelinks,People also ask",600,600,700,2015-10-18,"Informational,Non-branded,Non-local",English,,
40,spray foam rigs financing options comparison,us,,150,,,,,,150,,,2025-05-29,,,,
41,options screener free,us,8,150,1.40,,options screener,2025-12-28 22:07:56,"Sitelinks,Discussions",250,1400,1600,2016-07-26,"Informational,Non-branded,Non-local",English,,
42,how can a writer edit a narrative to include vivid imagery? select three options.,us,0,150,,,how can a writer edit a narrative to include vivid imagery? select three options.,2026-02-14 02:17:04,"Sitelinks,People also ask,Video preview",150,70,70,2018-09-29,"Informational,Non-branded,Non-local",English,,
43,options contract calculator,us,22,150,0.90,,options profit calculator,2026-03-07 15:33:40,"People also ask,Sitelinks",200,67000,80000,2017-07-26,"Informational,Non-branded,Non-local",English,,
44,options strategy builder,us,12,150,1.50,,optionstrat,2025-12-21 04:49:42,Sitelinks,1000,12000,20000,2016-01-02,"Informational,Non-branded,Non-local",English,,
45,facebook page category options list,us,,150,,,,,,150,,,2025-04-15,,,,
46,free options screener,us,5,150,2.00,1.58,options screener,2025-12-19 04:34:51,"AI Overview,Thumbnail,Sitelinks,Discussions,People also ask",200,1400,1600,2015-09-12,"Informational,Non-branded,Non-local",English,,
47,what steps best help a reader determine the central idea of a text? select three options.,us,0,150,,,what steps best help a reader determine the central idea of a text? select three options.,2026-02-11 12:03:20,"People also ask,Sitelinks,Video preview",150,500,500,2019-04-09,"Informational,Non-branded,Non-local",English,,
48,options probability calculator,us,12,150,1.30,1.74,options probability calculator,2026-02-19 22:27:02,"Sitelinks,Video preview,People also ask",200,200,250,2015-09-26,"Informational,Non-branded,Non-local",English,"202, 164, 167, 167, 172, 144, 114, 140, 142, 143, 173, 146, 104, 177, 147, 144, 128, 137, 143, 159, 131, 108, 148, 153","147, 150, 135, 134, 128, 117, 118, 115, 109, 107, 131, 136, 130"
49,options scanner,us,5,150,1.50,1.65,option samurai,2026-02-19 22:45:53,"Top ads,Paid sitelinks,Sitelinks,Discussions,Top stories,Thumbnail",300,1200,1300,2015-12-30,"Informational,Non-branded,Non-local",English,"198, 157, 182, 187, 187, 156, 147, 151, 185, 156, 184, 153, 147, 130, 160, 135, 197, 191, 198, 277, 121, 158, 145, 181","176, 162, 159, 163, 150, 146, 596, 137, 141, 165, 153, 189, 183"
50,fast food breakfast options comparison,us,,150,,,,,,150,,,2025-05-30,,,,
51,secondary list of options,us,,150,,,,,,150,,,2016-04-07,,,,
52,2025 ford explorer colors chart color options,us,,150,,,,,,150,,,2024-12-11,,,,
53,fast food breakfast options comparison 2025,us,,150,,,,,,150,,,2025-06-13,,,,
54,fast food companies vegetarian options comparison,us,,150,,,,,,150,,,2025-06-01,,,,
55,secondary list of options crossword clue,us,,150,,,,,,200,,,2024-05-02,,,,
56,finviz options screener,us,9,100,1.60,,finviz options screener,2026-03-11 02:27:01,"Sitelinks,People also ask",150,20,20,2016-09-26,"Informational,Navigational,Branded,Non-local",English,"171, 142, 116, 175, 171, 80, 101, 104, 130, 107, 128, 126, 73, 119, 73, 88, 112, 95, 163, 122, 87, 85, 93, 99","96, 90, 74, 84, 95, 103, 99, 83, 88, 93, 90, 97, 94"
57,options profit calculator app,us,26,100,1.90,,options profit calculator,2026-01-12 17:59:56,"Sitelinks,People also ask",150,72000,85000,2018-03-08,"Informational,Branded,Non-local",English,"130, 85, 71, 89, 107, 131, 107, 109, 91, 196, 231, 136, 90, 117, 142, 72, 91, 120, 75, 85, 79, 63, 150, 128","107, 116, 120, 121, 109, 115, 95, 100, 87, 128, 221, 186, 153"
58,options return calculator,us,36,100,1.30,,options profit calculator,2025-11-13 07:19:45,Sitelinks,150,77000,90000,2017-02-26,"Informational,Non-branded,Non-local",English,,
59,mta smtp server software options comparison,us,,100,,,,,,200,,,2025-11-27,,,,
60,best new options online prices comparison,us,,100,,,,,,200,,,2025-11-27,,,,
61,best options scanner,us,2,100,1.80,,best options scanner,2025-12-23 11:47:47,"Sitelinks,Discussions,People also ask,Top stories,Thumbnail,Shopping",150,200,200,2018-06-06,"Informational,Commercial,Non-branded,Non-local",English,,
62,options simulator app,us,48,100,2.50,,options simulator,2026-01-21 15:53:13,"People also ask,Sitelinks",150,250,250,2017-02-27,"Informational,Non-branded,Non-local",English,,
63,put options calculator,us,43,100,3.50,,put calculator,2026-03-11 05:26:26,,150,1100,1600,2016-02-27,"Informational,Non-branded,Non-local",English,,
64,best options screener,us,6,100,2.50,,option screener,2026-03-10 11:46:52,"AI Overview,Thumbnail,Sitelinks,Top stories,Video preview,Bottom ads",200,150,150,2016-01-03,"Informational,Non-branded,Non-local",English,"139, 111, 116, 119, 112, 77, 81, 163, 241, 146, 139, 119, 128, 70, 98, 82, 134, 108, 201, 140, 96, 118, 117, 129","127, 124, 115, 113, 121, 118, 114, 115, 123, 116, 118, 130, 128"
65,best designer wall lighting options,us,,100,,,,,,100,,,2025-07-04,,,,
66,cboe options calculator,us,32,100,1.80,1.16,options calculator,2026-02-19 08:05:48,,150,6500,6600,2015-11-05,"Informational,Navigational,Branded,Non-local",English,"76, 72, 76, 93, 64, 96, 51, 78, 60, 56, 74, 90, 69, 91, 74, 88, 109, 143, 139, 127, 87, 161, 132, 134","139, 120, 101, 100, 95, 102, 130, 139, 140, 142, 132, 134, 139"
67,options finder,us,33,100,1.80,,option finder,2026-02-20 23:35:04,"Sitelinks,Bottom ads,Paid sitelinks",200,100,150,2017-03-05,"Informational,Non-branded,Non-local",English,,
68,options analyzer,us,43,100,2.00,,options profit calculator,2026-03-02 08:56:05,Video preview,150,66000,80000,2015-11-12,"Informational,Non-branded,Non-local",English,"189, 122, 127, 156, 108, 155, 89, 130, 187, 158, 157, 123, 110, 127, 104, 101, 132, 135, 95, 106, 81, 74, 111, 108","122, 110, 98, 99, 97, 98, 78, 82, 86, 88, 107, 105, 119"
69,options strategy calculator,us,38,100,1.70,1.68,options profit calculator,2026-02-23 01:08:54,Sitelinks,200,66000,80000,2015-12-19,"Informational,Non-branded,Non-local",English,,
70,weekly options screener,us,19,100,1.90,1.17,weekly options screener,2026-03-01 10:24:36,Sitelinks,100,50,50,2015-09-07,"Informational,Non-branded,Non-local",English,"27, 17, 18, 17, 14, 23, 14, 23, 19, 14, 19, 15, 17, 874, 125, 19, 25, 26, 40, 20, 16, 23, 24, 28","27, 379, 46, 24, 27, 30, 27, 21, 20, 23, 23, 28, 27"
71,how should a reader analyze indirect characterization? select four options.,us,0,100,,,how should a reader analyze indirect characterization? select four options.,2025-11-26 00:02:11,"AI Overview,Thumbnail,People also ask,Sitelinks,Video preview",100,200,200,2021-03-27,"Informational,Non-branded,Non-local",English,,
72,vin options decoder,us,81,90,0.30,,vin decoder,2026-03-12 03:29:30,,100,535000,675000,2015-12-24,"Informational,Non-branded,Non-local",English,,
73,high premium options screener,us,12,90,1.30,,options screener,2026-03-12 22:53:48,"Sitelinks,Video preview,People also ask",100,600,600,2016-05-05,"Informational,Non-branded,Non-local",English,,
74,list of iphone 17 colors and price options,us,,90,,,,,,90,,,2025-10-27,,,,
75,pope options chart,us,,90,,,,,,90,,,2025-04-23,,,,
76,spray foam rigs hose length options comparison,us,,90,,,,,,90,,,2025-06-08,,,,
77,leading credit builder card options,us,,90,,,,,,90,,,2025-05-20,,,,
78,best ai crm agent builder options,us,,90,,,,,,100,,,2025-03-15,,,,
79,stock options tracker,us,22,90,2.50,,barchart options,2026-01-29 19:11:47,Sitelinks,90,1600,1900,2016-11-05,"Informational,Non-branded,Non-local",English,,
80,options trading simulator free,us,50,90,3.50,,day trading simulator,2026-02-17 22:21:32,"People also ask,Sitelinks",150,8300,10000,2016-07-17,"Informational,Non-branded,Non-local",English,,
81,audi vin decoder options list,us,48,90,0.30,,audi vin decoder options list,2026-01-01 15:04:18,"Sitelinks,People also ask",450,50,350,2016-10-03,"Informational,Branded,Non-local",English,,
82,options trade calculator,us,35,90,1.10,,options calculator,2026-03-10 17:56:48,,100,13000,17000,2016-04-21,"Informational,Non-branded,Non-local",English,"161, 103, 127, 162, 126, 115, 89, 109, 127, 153, 198, 129, 106, 124, 89, 85, 118, 92, 105, 91, 66, 66, 85, 84","91, 78, 73, 71, 62, 61, 55, 54, 61, 71, 81, 81, 89"
83,options premium calculator,us,47,90,1.80,,options profit calculator,2026-02-21 12:12:59,"Sitelinks,People also ask",200,66000,80000,2015-10-07,"Informational,Non-branded,Non-local",English,,
84,options market maker,us,1,90,1.50,1.21,options market making,2025-12-27 13:44:17,"AI Overview,Thumbnail,Sitelinks,People also ask,Top stories,Video preview",200,100,100,2015-09-02,"Informational,Non-branded,Non-local",English,"109, 131, 101, 96, 127, 127, 145, 149, 123, 119, 125, 110, 131, 119, 100, 77, 104, 61, 71, 79, 75, 62, 99, 95","91, 82, 71, 69, 80, 80, 100, 91, 78, 75, 85, 81, 78"
85,series 7 options chart,us,0,90,0.90,,series 7 options chart,2026-01-26 02:49:37,"Sitelinks,People also ask,Video preview",90,60,60,2016-11-10,"Informational,Non-branded,Non-local",English,"70, 85, 70, 84, 80, 102, 67, 68, 64, 65, 68, 67, 81, 80, 104, 80, 104, 82, 99, 102, 69, 73, 92, 95","95, 82, 75, 77, 84, 90, 84, 88, 80, 81, 92, 95, 95"
86,investment property financing options comparison,us,,80,,,,,,80,,,2025-09-17,,,,
87,options profit loss calculator,us,32,80,1.90,,options profit calculator,2026-02-01 05:05:32,Sitelinks,100,65000,79000,2016-12-27,"Informational,Non-branded,Non-local",English,,
88,long call options calculator,us,36,80,3.50,,options profit calculator,2026-02-05 12:26:33,,150,8900,12000,2018-07-22,"Informational,Non-branded,Non-local",English,,
89,options delta calculator,us,29,80,,,options calculator,2025-12-17 11:43:11,"People also ask,Sitelinks",100,8800,14000,2015-10-09,"Informational,Non-branded,Non-local",English,,
90,startup stock options calculator,us,8,80,1.50,,startup equity calculator,2025-12-27 01:23:17,Sitelinks,100,500,600,2015-09-24,"Informational,Non-branded,Non-local",English,,
91,action camera remote control options comparison,us,,80,,,,,,90,,,2025-06-08,,,,
92,list of options crossword clue,us,0,80,,,more or less crossword clue,2026-01-05 06:57:27,People also ask,80,0,0,2018-09-23,"Informational,Non-branded,Non-local",English,,
93,wordpress hosting comparison best options,us,,80,,,,,,80,,,2025-06-29,,,,
94,options simulator free,us,44,80,4.50,,options trading simulator,2026-02-21 07:58:47,"Sitelinks,People also ask",350,600,700,2015-09-12,"Informational,Non-branded,Non-local",English,,
95,porsche vin decoder options list,us,0,80,0.90,,porsche vin decoder options list,2025-12-23 05:38:55,"Sitelinks,AI Overview,Thumbnail,Video preview,People also ask",200,30,40,2018-08-23,"Informational,Branded,Non-local",English,,
96,chatgpt voice options list,us,,80,,,,,,100,,,2025-04-01,,,,
97,free to use options comparison,us,,80,,,,,,150,,,2025-12-05,,,,
98,stock options chart,us,21,80,1.70,,options chart,2026-01-03 21:49:52,"Top ads,Paid sitelinks,Sitelinks,Top stories,Thumbnail,Bottom ads",100,2400,3000,2016-02-29,"Informational,Navigational,Non-branded,Non-local",English,,
99,rank checker with scheduling options,us,,80,,,,,,90,,,2025-02-03,,,,
100,options chart series 7,us,0,80,,,series 7 options chart,2026-03-02 21:27:14,"Sitelinks,Video preview",90,90,90,2016-05-21,"Informational,Non-branded,Non-local",English,,
101,unusual options activity scanner,us,5,80,1.60,1.63,unusual options activity,2025-12-23 02:40:45,"Sitelinks,Video preview,Discussions",100,3900,4100,2015-09-03,"Informational,Non-branded,Non-local",English,"81, 65, 99, 81, 65, 52, 66, 80, 172, 140, 65, 51, 50, 52, 77, 41, 94, 64, 73, 132, 91, 92, 89, 78","70, 75, 81, 77, 77, 77, 74, 100, 104, 94, 89, 78, 71"
102,best unusual options activity scanner,us,0,80,1.40,,options flow scanner,2026-01-04 11:53:01,"AI Overview,Thumbnail,Sitelinks,Discussions,People also ask",100,20,20,2019-08-28,"Informational,Commercial,Non-branded,Non-local",English,,
103,best credit builder options,us,,80,,,,,,90,,,2025-04-19,,,,
104,selected from a list of options crossword clue,us,,80,,,,,,80,,,2025-11-09,,,,
105,options simulator app coinscrafter com,us,,80,,,,,,80,,,2025-05-31,,,,
106,stock options screener,us,17,80,1.50,,options screener,2026-02-24 22:34:58,"Sitelinks,Video preview,Top stories,Thumbnail",150,1400,1600,2016-08-18,"Informational,Non-branded,Non-local",English,,
107,free website builder options,us,,80,,,,,,90,,,2025-04-15,,,,
108,bar chart options,us,7,70,1.90,,barchart options,2026-01-25 08:58:33,"Sitelinks,People also ask,Video preview",90,1600,1800,2015-11-21,"Informational,Non-branded,Non-local",English,,
109,best compressor plugins with sidechain options,us,,70,,,,,,70,,,2025-07-29,,,,
110,options trading tracker,us,50,70,2.00,,how to track option trades,2026-01-11 21:34:02,"Sitelinks,Discussions,People also ask",90,250,250,2019-01-21,"Informational,Non-branded,Non-local",English,,
111,daily options list,us,7,70,,,0dte options list,2026-02-25 15:24:58,"People also ask,Sitelinks",90,250,300,2023-03-20,"Informational,Non-branded,Non-local",English,,
112,secondary list of options nyt crossword clue,us,,70,,,,,,80,,,2026-01-04,,,,
113,options tax calculator,us,6,70,3.50,,capital gains tax calculator,2026-02-19 07:01:59,"People also ask,Sitelinks",90,34000,38000,2020-02-10,"Informational,Non-branded,Non-local",English,,
114,options strength viewer,us,,70,,,,,,70,,,2024-01-26,,,,
115,pharmacy delivery options comparison,us,,70,,,,,,70,,,2025-06-02,,,,
116,index options list,us,3,70,2.00,,index options list,2026-01-05 05:44:52,"AI Overview,Thumbnail,People also ask",200,50,60,2016-08-23,"Informational,Non-branded,Non-local",English,"143, 148, 147, 124, 106, 104, 100, 126, 122, 133, 125, 84, 89, 104, 77, 71, 60, 63, 49, 48, 65, 59, 71, 56","71, 55, 51, 56, 54, 55, 48, 52, 53, 63, 71, 56, 71"
117,call and put options chart,us,27,70,1.80,,barchart options,2025-11-26 10:04:54,"Sitelinks,People also ask",150,1500,1900,2019-06-14,"Informational,Non-branded,Non-local",English,,
118,home generator options,us,25,70,1.60,,generac generators,2025-12-29 07:40:18,"AI Overview,Thumbnail,Shopping,Sitelinks,Discussions",80,66000,75000,2017-10-30,"Informational,Commercial,Non-branded,Non-local",English,,
119,best free video editing software options list,us,,70,,,,,,80,,,2025-06-07,,,,
120,best equipment financing options comparison,us,,70,,,,,,70,,,2025-10-01,,,,
121,list the top 5 website builder options for 2025,us,,70,,,,,,90,,,2025-06-09,,,,
122,what options do you get when you search timer,us,0,70,,,what options do you get when you search timer,2025-11-19 10:13:31,"AI Overview,Thumbnail,People also ask,Discussions,Video preview,Sitelinks",70,30,30,2023-08-24,"Informational,Non-branded,Non-local",English,,
123,free options trading simulator,us,45,70,3.50,1.5,trading simulator,2026-03-01 16:06:16,Sitelinks,90,7800,13000,2016-01-30,"Informational,Non-branded,Non-local",English,,
124,linkedin industry list options,us,,70,,,,,,80,,,2025-04-10,,,,
125,one-page personal website builder options,us,,70,,,,,,70,,,2025-06-29,,,,
126,best designer ceiling lighting options,us,,70,,,,,,80,,,2025-07-04,,,,
127,options tracker spreadsheet,us,0,70,3.00,,option tracking spreadsheet,2026-03-12 00:25:17,Sitelinks,80,30,30,2016-12-20,"Informational,Non-branded,Non-local",English,,
128,free unusual options activity scanner,us,4,70,1.40,,unusual options activity,2026-01-04 11:50:48,"Sitelinks,People also ask,Discussions",80,3900,4100,2018-05-21,"Informational,Non-branded,Non-local",English,,
129,options chart io,us,,70,,,,,,100,,,2023-11-27,,,,
130,gopro quik app background music options list,us,,60,,,,,,70,,,2025-06-07,,,,
131,low stress options calculator,us,,60,,,,,,70,,,2025-05-02,,,,
