#,Keyword,Country,Difficulty,Volume,CPC,CPS,Parent Keyword,Last Update,SERP Features,Global volume,Traffic potential,Global traffic potential,First seen,Intents,Languages,SV trend (03-2024 - 02-2026),SV Forecasting trend (03-2026 - 03-2027),Category
19,unh intrinsic value,us,0,200,,,unh intrinsic value,2026-03-07 03:38:50,"AI Overview,Thumbnail,Video preview,People also ask",350,80,80,2017-07-04,"Informational,Branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
20,how to calculate intrinsic value,us,12,200,0.40,1.15,intrinsic value formula,2026-03-02 21:29:55,"AI Overview,Thumbnail,Video preview,Sitelinks,People also ask,Top stories",600,600,1200,2015-10-02,"Informational,Non-branded,Non-local",English,"477, 479, 357, 330, 282, 284, 295, 360, 357, 300, 258, 306, 309, 307, 245, 177, 217, 156, 199, 202, 189, 165, 133, 150","163, 191, 149, 138, 144, 141, 159, 191, 200, 177, 138, 156, 169",Finance/Investing/Stocks and Bonds
21,intrinsic value example,us,16,150,0.09,0.61,intrinsic value,2025-12-23 22:02:29,"AI Overview,Thumbnail,Sitelinks,People also ask,Video preview",450,2100,5800,2015-09-25,"Informational,Non-branded,Non-local",English,"204, 200, 139, 129, 93, 170, 291, 257, 181, 146, 396, 286, 169, 174, 137, 93, 73, 132, 224, 201, 113, 109, 193, 174","156, 142, 132, 106, 106, 141, 238, 196, 155, 139, 217, 196, 175",Finance/Investing/Stocks and Bonds; Reference/General Reference/Dictionaries and Encyclopedias; Reference/General Reference/Educational Resources; Reference/Humanities/Philosophy
22,cvs intrinsic value,us,0,150,,,cvs intrinsic value,2026-03-12 20:57:14,"AI Overview,Thumbnail,People also ask",150,60,60,2018-09-15,"Informational,Branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
23,intrinsic vs instrumental value,us,1,150,0.70,0.54,instrumental value,2026-03-11 03:19:29,"AI Overview,Thumbnail,People also ask,Sitelinks,Video preview",250,100,100,2016-05-01,"Informational,Non-branded,Non-local",English,"191, 141, 114, 56, 42, 85, 255, 249, 119, 144, 134, 217, 175, 182, 114, 54, 52, 100, 314, 328, 145, 143, 143, 222","195, 151, 115, 84, 79, 89, 240, 238, 155, 149, 143, 222, 196",Reference/Humanities/Philosophy
24,apple intrinsic value,us,2,150,2.00,,apple intrinsic value,2025-12-29 08:05:19,"AI Overview,Thumbnail,People also ask,Video preview,Sitelinks",350,250,400,2016-12-04,"Informational,Branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
25,aapl intrinsic value,us,2,150,7.00,,apple intrinsic value,2025-12-24 05:03:19,"AI Overview,Thumbnail,People also ask,Top stories,Sitelinks",200,250,400,2015-12-04,"Informational,Branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
26,intrinsic value of option,us,2,150,0.01,0.49,options pricing,2026-01-26 09:51:17,"AI Overview,Thumbnail,People also ask,Sitelinks,Top stories,Video preview",800,1100,1700,2015-10-26,"Informational,Non-branded,Non-local",English,"267, 268, 271, 217, 224, 218, 173, 233, 222, 217, 217, 218, 174, 217, 182, 179, 178, 174, 157, 176, 178, 126, 164, 157","160, 166, 163, 147, 154, 153, 137, 150, 156, 156, 163, 156, 160",Finance/Investing/Derivatives
27,msft intrinsic value,us,3,150,,,msft intrinsic value,2025-12-19 16:17:34,People also ask,250,150,250,2018-11-29,"Informational,Branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
28,meta intrinsic value,us,0,150,,,meta valuation,2026-01-03 01:23:32,"AI Overview,Thumbnail,People also ask,Video preview,Top stories,Sitelinks",400,200,300,2021-11-21,"Informational,Branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
29,amd intrinsic value,us,1,150,2.50,,amd intrinsic value,2026-02-09 01:45:26,"People also ask,Video preview",350,200,200,2017-02-23,"Informational,Branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
30,amzn intrinsic value,us,0,100,,,amazon intrinsic value,2025-12-29 06:43:47,"AI Overview,Thumbnail,People also ask,Video preview",200,300,400,2020-03-04,"Informational,Branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
31,benjamin graham intrinsic value formula,us,4,100,,,benjamin graham intrinsic value formula,2026-01-07 09:18:17,"AI Overview,Thumbnail,Sitelinks,People also ask",200,100,150,2018-05-11,"Informational,Non-branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
32,intrinsic value of an option,us,2,100,0.01,0.55,intrinsic value options,2025-11-16 05:09:03,"AI Overview,Thumbnail,People also ask,Sitelinks,Video preview,Top stories",350,800,1400,2015-10-13,"Informational,Non-branded,Non-local",English,"133, 146, 144, 117, 124, 124, 101, 135, 132, 139, 135, 130, 108, 141, 125, 117, 124, 116, 104, 129, 121, 89, 119, 114","119, 124, 112, 101, 101, 103, 89, 98, 118, 119, 113, 109, 114",Finance/Investing/Derivatives
33,microsoft intrinsic value,us,3,100,,,msft intrinsic value,2026-01-01 22:47:33,"AI Overview,Thumbnail,People also ask,Top stories,Sitelinks",250,200,250,2016-02-05,"Informational,Branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
34,does gold have intrinsic value,us,1,100,8.00,0.67,does gold have intrinsic value,2025-12-29 01:47:37,"AI Overview,Thumbnail,Sitelinks,People also ask,Video preview",200,50,50,2015-10-24,"Informational,Non-branded,Non-local",English,"102, 68, 64, 39, 38, 51, 51, 53, 104, 127, 107, 85, 108, 90, 106, 53, 79, 54, 70, 156, 107, 100, 107, 107","132, 117, 123, 80, 72, 73, 81, 96, 110, 104, 112, 112, 138",Finance/Investing/Commodities and Futures Trading
35,how to calculate intrinsic value of a stock,us,4,100,0.60,1.33,how to calculate intrinsic value of a stock,2026-03-17 04:53:48,"AI Overview,Video preview,Thumbnail,Sitelinks,People also ask,Top stories",350,30,40,2015-09-14,"Informational,Non-branded,Non-local",English,"133, 155, 105, 103, 101, 154, 111, 130, 133, 142, 141, 99, 126, 131, 128, 110, 105, 104, 107, 101, 102, 67, 75, 63","73, 85, 73, 65, 65, 60, 42, 59, 78, 79, 72, 61, 70",Finance/Investing/Stocks and Bonds
36,option intrinsic value,us,2,100,0.01,0.68,intrinsic value options,2026-01-04 14:33:18,"AI Overview,Thumbnail,Sitelinks,People also ask,Top stories",300,700,1300,2015-10-08,"Informational,Non-branded,Non-local",English,"184, 194, 191, 159, 159, 158, 129, 161, 157, 159, 158, 155, 129, 162, 127, 126, 127, 127, 115, 128, 121, 95, 103, 107","112, 111, 95, 89, 81, 82, 79, 84, 85, 81, 75, 77, 79",Finance/Investing/Derivatives
37,stocks below intrinsic value,us,3,100,,,intrinsic value news,2026-03-14 14:01:27,People also ask,150,0,0,2018-04-03,"Informational,Non-branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
38,does bitcoin have intrinsic value,us,12,100,,,is bitcoin an asset,2026-03-17 08:31:00,"AI Overview,Thumbnail,People also ask,Sitelinks,Top stories,Video preview",150,40,40,2016-06-21,"Informational,Branded,Non-local",English,,,Finance/Investing/Currencies and Foreign Exchange
39,intrinsic vs extrinsic value options,us,0,90,,,intrinsic value vs extrinsic value,2026-01-07 21:11:28,"AI Overview,Thumbnail,People also ask",150,200,200,2017-03-09,"Informational,Non-branded,Non-local",English,,,Finance/Investing/Derivatives
40,intrinsic value method,us,4,90,,,intrinsic value,2025-12-25 07:31:43,"AI Overview,Thumbnail,Sitelinks,People also ask,Top stories,Video preview",250,2100,5800,2015-11-19,"Informational,Non-branded,Non-local",English,,,Finance/Investing
41,instrumental vs intrinsic value,us,1,90,,,instrumental value,2026-03-18 00:40:35,"AI Overview,Video preview,Thumbnail,People also ask,Sitelinks",150,200,350,2015-10-26,"Informational,Non-branded,Non-local",English,,,Reference/Humanities/Philosophy
42,options intrinsic value,us,2,90,0.01,0.54,intrinsic value options,2026-01-01 06:09:33,"AI Overview,Thumbnail,Sitelinks,People also ask,Top stories,Video preview",150,700,1400,2015-09-30,"Informational,Non-branded,Non-local",English,"123, 127, 130, 108, 114, 112, 89, 106, 110, 110, 109, 108, 93, 108, 87, 86, 98, 93, 81, 92, 91, 74, 88, 95","105, 106, 98, 83, 85, 84, 82, 85, 81, 85, 86, 94, 104",Finance/Investing/Derivatives
43,ups intrinsic value,us,0,80,,,ups intrinsic value,2026-01-02 07:02:33,"AI Overview,Thumbnail,People also ask,Sitelinks",100,30,30,2019-12-06,"Informational,Branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
44,extrinsic vs intrinsic value,us,5,80,,,intrinsic vs extrinsic value,2025-12-25 09:46:19,"AI Overview,Thumbnail,People also ask,Sitelinks,Top stories,Video preview",100,100,100,2015-09-02,"Informational,Non-branded,Non-local",English,,,Finance/Investing/Derivatives; Reference/General Reference/Dictionaries and Encyclopedias; Reference/General Reference/Educational Resources
45,uber intrinsic value,us,0,80,,,uber valuation,2025-12-30 14:59:27,"AI Overview,Thumbnail,People also ask,Sitelinks",150,150,150,2019-12-17,"Informational,Branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
46,pltr intrinsic value,us,0,80,,,palantir valuation,2025-12-25 07:23:27,"AI Overview,Thumbnail,People also ask,Sitelinks",150,250,250,2021-02-17,"Informational,Branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
47,palantir intrinsic value,us,0,80,,,palantir valuation,2026-01-06 12:40:49,"AI Overview,Thumbnail,People also ask,Sitelinks",200,200,250,2021-02-26,"Informational,Branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
48,tsm intrinsic value,us,0,80,,,tsm intrinsic value,2026-01-04 21:27:27,"AI Overview,Thumbnail,People also ask",200,10,10,2019-10-21,"Informational,Branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
49,sofi intrinsic value,us,0,80,,,sofi valuation,2026-01-02 21:19:01,"AI Overview,Thumbnail,People also ask,Sitelinks",150,90,90,2021-06-28,"Informational,Branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
50,paypal intrinsic value,us,0,80,,,paypal intrinsic value,2025-12-30 22:25:18,"AI Overview,Thumbnail,People also ask,Top stories,Video preview",150,70,100,2019-05-12,"Informational,Branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
51,intrinsic value examples,us,12,80,,,intrinsic value,2026-01-04 03:08:03,"AI Overview,Thumbnail,Sitelinks,People also ask,Top stories",100,2100,8600,2015-11-19,"Informational,Non-branded,Non-local",English,,,Finance/Investing; People and Society/Self-Help and Motivational; People and Society/Social Sciences/Economics; People and Society/Social Sciences/Psychology
52,intrinsic value vs market value,us,4,80,0.09,0.56,market value vs intrinsic value,2026-01-06 23:36:17,"AI Overview,Thumbnail,Sitelinks,People also ask,Top stories,Video preview",250,20,70,2016-01-27,"Informational,Non-branded,Non-local",English,"89, 90, 67, 59, 49, 79, 119, 95, 90, 79, 115, 95, 101, 87, 63, 50, 59, 68, 87, 86, 73, 53, 85, 85","94, 85, 74, 56, 50, 59, 85, 80, 76, 70, 81, 81, 90",Finance/Investing
53,intrinsic value philosophy,us,2,80,,0.39,intrinsic vs extrinsic value,2026-01-05 23:06:17,"AI Overview,Thumbnail,People also ask,Sitelinks",200,450,800,2015-10-15,"Informational,Non-branded,Non-local",English,"145, 134, 96, 103, 92, 91, 184, 141, 81, 96, 142, 148, 91, 100, 79, 34, 51, 50, 88, 111, 67, 86, 83, 102","89, 82, 68, 60, 54, 60, 105, 112, 84, 85, 83, 102, 89",Reference/Humanities/Philosophy
54,what is intrinsic value in options,us,1,80,,,intrinsic value options,2025-12-30 18:42:34,"AI Overview,Thumbnail,People also ask,Sitelinks,Top stories,Video preview",250,700,1400,2019-06-10,"Informational,Non-branded,Non-local",English,,,Finance/Investing/Derivatives
55,intrinsic value of a stock,us,5,70,0.90,0.82,intrinsic value of stock,2026-03-12 10:49:44,"AI Overview,Thumbnail,Video preview,Sitelinks,People also ask,Top stories",150,500,1100,2015-10-20,"Informational,Non-branded,Non-local",English,"124, 120, 91, 76, 81, 89, 80, 86, 92, 99, 102, 93, 88, 75, 75, 54, 61, 51, 59, 50, 66, 71, 63, 68","69, 72, 66, 61, 58, 60, 58, 62, 66, 71, 63, 68, 69",Finance/Investing/Stocks and Bonds
56,stock intrinsic value calculator,us,12,70,1.30,1.26,intrinsic value,2026-01-27 00:06:17,"Sitelinks,People also ask,Video preview",200,1400,4100,2015-10-05,"Informational,Non-branded,Non-local",English,"152, 103, 118, 87, 107, 131, 87, 101, 435, 179, 214, 129, 128, 86, 71, 69, 75, 81, 53, 50, 47, 43, 52, 52","48, 46, 48, 29, 40, 31, 18, 24, 57, 42, 43, 44, 39",Finance/Investing/Stocks and Bonds
57,definition of intrinsic value,us,31,70,,0.43,intrinsic value,2026-01-05 08:18:33,"AI Overview,Thumbnail,Sitelinks,People also ask,Video preview,Top stories",100,2100,8600,2015-09-06,"Informational,Non-branded,Non-local",English,,,Finance/Investing; Reference/General Reference/Dictionaries and Encyclopedias; Reference/General Reference/Educational Resources
58,how to calculate intrinsic value of an option,us,2,70,,,how to calculate intrinsic value of an option,2025-11-18 10:09:21,"AI Overview,Thumbnail,People also ask,Sitelinks",100,150,200,2016-05-12,"Informational,Non-branded,Non-local",English,,,Finance/Investing/Derivatives
59,what is intrinsic value of stock,us,11,70,0.05,0.77,intrinsic value,2026-03-16 13:10:32,"AI Overview,Thumbnail,Video preview,Sitelinks,People also ask,Top stories",200,2000,5400,2015-12-09,"Informational,Non-branded,Non-local",English,"112, 143, 88, 84, 90, 98, 85, 100, 108, 106, 107, 103, 109, 101, 78, 68, 71, 70, 70, 66, 64, 55, 68, 70","66, 69, 61, 54, 54, 54, 54, 59, 61, 54, 48, 49, 46",Finance/Investing/Stocks and Bonds
60,intrinsic value vs instrumental value,us,5,70,,1.04,instrumental value,2026-01-02 10:19:02,"AI Overview,Thumbnail,Sitelinks,People also ask,Video preview",100,200,350,2015-12-10,"Informational,Non-branded,Non-local",English,"38, 22, 11, 19, 18, 31, 97, 57, 22, 33, 30, 78, 58, 36, 33, 34, 45, 66, 146, 90, 74, 98, 70, 38",0,Jobs and Education/Education; Reference/Humanities/Philosophy
61,intrinsic value finance,us,14,70,0.05,,intrinsic value,2025-11-30 07:43:29,"AI Overview,Thumbnail,Sitelinks,People also ask,Top stories",150,2000,5700,2016-02-22,"Informational,Non-branded,Non-local",English,,,Finance/Investing
62,intrinsic value of share,us,5,70,0.90,,intrinsic value formula,2025-12-27 03:04:44,"AI Overview,Thumbnail,Sitelinks,People also ask,Top stories,Video preview",1200,700,1400,2020-01-09,"Informational,Non-branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
63,intrinsic value definition philosophy,us,1,70,,,intrinsic value definition,2025-12-01 03:46:46,"AI Overview,Sitelinks,People also ask,Video preview",80,600,900,2015-09-25,"Informational,Non-branded,Non-local",English,,,Reference/Humanities/Philosophy
64,extrinsic value vs intrinsic value,us,5,70,,,intrinsic vs extrinsic value options,2026-01-04 04:05:33,"AI Overview,Thumbnail,Sitelinks,People also ask,Video preview,Top stories",100,100,150,2016-08-20,"Informational,Non-branded,Non-local",English,,,Reference/Humanities/Philosophy
65,intrinsic value of options,us,2,60,1.90,,intrinsic value options,2025-12-22 06:35:33,"AI Overview,Thumbnail,People also ask,Sitelinks,Top stories,Video preview",150,700,1400,2015-10-15,"Informational,Non-branded,Non-local",English,,,Finance/Investing/Derivatives
66,avgo intrinsic value,us,0,60,,,avgo intrinsic value,2025-11-24 02:51:09,"AI Overview,Thumbnail,People also ask",90,30,30,2020-04-25,"Informational,Branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
67,intrinsic value environmental science,us,5,60,,,intrinsic value environmental science,2026-03-14 23:31:47,"AI Overview,Thumbnail,People also ask,Sitelinks",60,20,20,2015-09-15,"Informational,Non-branded,Non-local",English,,,Science/Ecology and Environment
68,how to find intrinsic value of stock,us,11,60,1.30,1.17,intrinsic value,2026-01-07 02:41:53,"AI Overview,Thumbnail,Sitelinks,People also ask,Video preview,Top stories",250,1300,5400,2016-04-10,"Informational,Non-branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
69,instrumental value vs intrinsic value,us,4,60,,,instrumental value,2025-12-26 19:28:41,"AI Overview,Thumbnail,People also ask,Sitelinks,Video preview",100,200,350,2016-03-24,"Informational,Non-branded,Non-local",English,,,Reference/Humanities/Philosophy
70,what is intrinsic value of an option,us,2,60,,,intrinsic value options,2026-01-04 23:56:50,"AI Overview,Thumbnail,People also ask,Top stories,Sitelinks",80,700,1300,2017-12-09,"Informational,Non-branded,Non-local",English,,,Finance/Investing/Derivatives
71,intel intrinsic value,us,0,60,,,intel intrinsic value,2026-01-02 01:45:03,"AI Overview,Thumbnail,People also ask,Sitelinks",150,80,100,2016-04-12,"Informational,Branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
72,what is the intrinsic value of an option,us,2,60,,,intrinsic value options,2025-12-16 03:58:18,"AI Overview,Thumbnail,People also ask,Top stories,Video preview,Sitelinks",100,700,1300,2016-07-20,"Informational,Non-branded,Non-local",English,,,Finance/Investing/Derivatives
73,intrinsic value ethics,us,4,50,,0.4,intrinsic value definition,2026-01-01 14:25:17,"AI Overview,Thumbnail,Sitelinks,People also ask",100,400,700,2015-09-05,"Informational,Non-branded,Non-local",English,"66, 53, 39, 35, 31, 42, 79, 81, 42, 62, 69, 69, 57, 58, 48, 36, 33, 42, 75, 65, 50, 45, 57, 59","52, 50, 42, 37, 31, 43, 65, 64, 48, 47, 56, 59, 51",Reference/Humanities/Philosophy
74,bac intrinsic value,us,0,50,,,bac intrinsic value,2026-02-24 21:47:35,"AI Overview,Thumbnail,People also ask,Video preview",60,30,30,2016-03-03,"Informational,Branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
75,pfizer intrinsic value,us,0,50,,,pfizer intrinsic value,2025-12-24 07:58:36,"AI Overview,Thumbnail,People also ask",100,40,40,2020-04-19,"Informational,Branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
76,oxy intrinsic value,us,0,50,,,oxy intrinsic value,2025-11-17 05:31:55,"AI Overview,Thumbnail,Sitelinks,People also ask",80,10,10,2020-02-21,"Informational,Branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
77,how to find intrinsic value,us,2,50,0.40,0.91,intrinsic value formula,2025-12-30 22:23:49,"Sitelinks,People also ask,Discussions,Top stories,Thumbnail,Video preview",70,700,1400,2015-09-05,"Informational,Non-branded,Non-local",English,"119, 136, 86, 83, 73, 72, 72, 92, 93, 71, 53, 66, 66, 64, 54, 35, 47, 33, 44, 48, 40, 39, 35, 35","45, 53, 41, 34, 29, 27, 32, 44, 50, 46, 34, 35, 45",Finance/Investing/Stocks and Bonds
78,disney intrinsic value,us,0,50,,,disney valuation,2026-01-07 03:05:18,"AI Overview,Thumbnail,People also ask",70,40,60,2016-01-14,"Informational,Branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
79,dcf intrinsic value calculator,us,6,50,,,dcf calculator,2026-03-02 05:36:14,Video preview,100,800,1800,2015-10-13,"Informational,Non-branded,Non-local",English,,,Finance/Investing/Stocks and Bonds
